address,code,name,storeType
台北市建國北路二段216號,A10,台北北區服務中心,直營服務中心
台北市長春路27號,A10,長春服務中心,直營服務中心
台北市北投區石牌路一段73號,A16,石牌服務中心,直營服務中心
台北市文山區木新路三段200號,A11,台北木新服務中心,直營服務中心
台北市羅斯福路六段159巷19號,A11,景美服務中心,直營服務中心
台北市木柵路三段79號,A11,木柵服務中心,直營服務中心
台北市南港區南港路一段155號,A13,台北南港特約服務中心,特約服務中心
台北市中山區北安路594號,A10,大直北安特約服務中心,特約服務中心
台北市中山區農安街12之4號,A10,台北農安特約服務中心,特約服務中心
台北市中山區林森北路106號,A10,台北林森特約服務中心,特約服務中心
台北市北投區中和街260號,A16,北投中和服務中心,直營服務中心
台北市北投區光明路176號,A16,北投服務中心,直營服務中心
台北市北投區紗帽路139號,A16,陽明山服務中心,直營服務中心
台北市內湖區成功路三段135,A14,內湖成功服務中心,直營服務中心
台北市內湖區東湖路33巷1號,A14,台北東湖服務中心,直營服務中心
台北市士林區延平北路五段211號,A15,社子服務中心,直營服務中心
台北市士林區德行東路177號,A15,德行東服務中心,直營服務中心
台北市信義區信義路六段90號,A17,虎林服務中心,直營服務中心
台北市文山區羅斯福路六段244號,A11,景美漢神特約服務中心,特約服務中心
台北市文山區興隆路三段77號,A11,台北興隆特約服務中心,特約服務中心
台北市北投區石牌路二段47號,A16,台北石牌特約服務中心,特約服務中心
台北市內湖路一段596號,A14,內湖服務中心,直營服務中心
台北市內湖區康寧路三段75巷22號,A14,康寧服務中心,直營服務中心
台北市內湖區東湖路133號,A14,台北東湖特約服務中心,特約服務中心
台北市內湖區成功路四段137號,A14,內湖德安特約服務中心,特約服務中心
台北市內湖區內湖路一段313號,A14,內湖西湖特約服務中心,特約服務中心
台北市士林區文林路158號,A15,士林夜市服務中心,直營服務中心
台北市基河路10號,A15,士林服務中心,直營服務中心
台北市士林區福國路95號2F,A15,芝山服務中心,直營服務中心
台北市士林區中正路363號,A15,士林中正特約服務中心,特約服務中心
台北市士林區中山北路六段146號,A15,天母中山特約服務中心,特約服務中心
台北市士林區天母西路28-1號,A15,台北天母特約服務中心,特約服務中心
台北市信義區仁愛路4段420-1號,A17,台北光復服務中心,直營服務中心
台北市信義區永吉路525號,A17,五分埔服務中心,直營服務中心
台北市信義區信義路五段7號35樓C室,A17,台北101服務中心,直營服務中心
台北市信義區松仁路130號,A17,101塔樓35樓,直營服務中心
台北市信義區松壽路20號,A17,台北東區服務中心,直營服務中心
台北市信義區松德路1號,A17,信義威秀服務中心,特約服務中心
台北市信義區莊敬路448號,A17,台北松山特約服務中心,特約服務中心
基隆市仁愛區仁一路321號,C04,基隆服務中心,直營服務中心
基隆市仁愛區仁三路74號,C04,仁三服務中心,直營服務中心
基隆市安樂區安一路123號,C06,安一服務中心,直營服務中心
基隆市安樂路二段129號,C06,安樂服務中心,直營服務中心
基隆市安樂區基金一路172之6號,C06,基隆大武崙特約服務中心,特約服務中心
基隆市信義區深溪路94號,C07,基隆深溪特約服務中心,特約服務中心
基隆市信義區信一路94號,C07,基隆信一特約服務中心,特約服務中心
新北市林口區忠孝路370號1樓,F02,林口忠孝服務中心,直營服務中心
新北市林口區中山路262號,F02,林口服務中心,直營服務中心
新北市林口區竹林路27號,F02,林口竹林特約服務中心,特約服務中心
新北市林口區文化二路一段553號,F02,林口文化特約服務中心,特約服務中心
新北市新莊區建國一路10號,F01,輔大服務中心,直營服務中心
新北市新莊區中平路369號,F01,中平服務中心,直營服務中心
新北市五股區成泰路三段18號,F03,五股服務中心,直營服務中心
新北市五股區工商路74號,F03,五股成泰特約服務中心,特約服務中心
新北市新莊區民安路214號1樓,F01,新莊民安服務中心,直營服務中心
新北市新莊區幸福路612號1樓,F01,新莊幸福服務中心,直營服務中心
新北市新莊區中華路一段57號,F01,新莊服務中心,直營服務中心
新北市新莊區四維路7號,F01,後港服務中心,直營服務中心
新北市新莊區幸福路749號,F01,新莊幸福二特約服務中心,特約服務中心
新北市蘆洲區集賢路338號1樓,F04,集賢服務中心,直營服務中心
新北市新莊區民安西路52號,F01,新莊民安西特約服務中心,特約服務中心
新北市新莊區中正路297號,F01,新莊中正特約服務中心,特約服務中心
新北市新莊區新泰路283號,F01,新莊新泰特約服務中心,特約服務中心
新北市新莊區幸福路22號,F01,新莊幸福特約服務中心,特約服務中心
新北市蘆洲區中華街73號1樓,F04,蘆洲中華服務中心,直營服務中心
新北市蘆洲區三民路91號,F04,蘆洲服務中心,直營服務中心
新北市蘆洲區長安街152號,F04,蘆洲長安特約服務中心,特約服務中心
新北市蘆洲區長榮路260號,F04,蘆洲長榮特約服務中心,特約服務中心
新北市蘆洲區光華路95號,F04,蘆洲光華特約服務中心,特約服務中心
新北市泰山區明志路三段155號,F06,明志服務中心,直營服務中心
新北市泰山區明志路一段167號1樓,F06,泰明服務中心,直營服務中心
新北市三重區正義北路15-3號,F05,正義服務中心,直營服務中心
新北市三重區三和路二段150號1樓,F05,三重三和服務中心,直營服務中心
新北市三重區重新路三段27號,F05,三重服務中心,直營服務中心
新北市三重區三和路四段410號,F05,三重三和特約服務中心,特約服務中心
新北市三重區五華街140號,F05,三重五華特約服務中心,特約服務中心
新北市三重區中正北路181號,F05,三重中正特約服務中心,特約服務中心
新北市三重區正義北路234號,F05,三重正義特約服務中心,特約服務中心
新北市三重區重陽路二段3號,F05,三重重陽特約服務中心,特約服務中心
新北市深坑區深坑街14號,F09,深坑服務中心,直營服務中心
新北市新店區民權路48號,F07,大坪林服務中心,直營服務中心
新北市新店區中正路259號,F07,新店中正服務中心,直營服務中心
新北市新店區北新路一段72號,F07,新店服務中心,直營服務中心
新北市新店區安康路二段337號之一,F07,安康服務中心,直營服務中心
新北市新店區中正路342號,F07,新店中正特約服務中心,特約服務中心
新北市新店區北新路二段163號,F07,新店七張特約服務中心,特約服務中心
新北市新店區中正路525號1樓,F07,新店遠東特約服務中心,特約服務中心
新北市新店區安康路二段121-1號,F07,新店安康特約服務中心,特約服務中心
新北市新店區光明街13號,F07,新店光明特約服務中心,特約服務中心
